SampleID,Batch,CMO tag,CMO tag - Hu,10X library version,note for CMO tags,Sample collect_date,MouseID,MouseID_New,Replicate,Lineage,Treatment,Tissue,CD45,LN_treatment,Havest_time,HA_tag,QC,Initial num of cells
XZ_70874_XZ_70875.FVB_MG2_rep2,7,303/304,304,V3,No other samples in this batch.,20240828,,34,2,FVB,Virus,MG,Unsorted,WT,1week,Yes,PASS,2472
XZ_70874_XZ_70875.FVB_MG3_rep1,7,305/306,305,V3,No other samples in this batch.,20240828,,35,1,FVB,Virus,MG,Unsorted,WT,1week,Yes,PASS,2025
XZ_70874_XZ_70875.FVB_MG3_rep2,7,305/306,306,V3,No other samples in this batch.,20240828,,35,2,FVB,Virus,MG,Unsorted,WT,1week,Yes,PASS,1439
XZ_70874_XZ_70875.FVB_MG4_rep1,7,307/308,307,V3,No other samples in this batch.,20240828,,36,1,FVB,Virus,MG,Unsorted,WT,1week,Yes,PASS,2594
XZ_70874_XZ_70875.FVB_MG4_rep2,7,307/308,308,V3,No other samples in this batch.,20240828,,36,2,FVB,Virus,MG,Unsorted,WT,1week,Yes,PASS,2362
XZ_71045_XZ_71046.FVB_MG1_rep1,8,301/302,301,V3,"This batch has 3 rat samples #309, #310, #311.",20240909,,37,1,FVB,Virus,MG,Unsorted,WT,2month,Yes,PASS,1848
XZ_71045_XZ_71046.FVB_MG1_rep2,8,301/302,302,V3,"This batch has 3 rat samples #309, #310, #311.",20240909,,37,2,FVB,Virus,MG,Unsorted,WT,2month,Yes,PASS,1403
XZ_71045_XZ_71046.FVB_MG2_rep1,8,303/304,303,V3,"This batch has 3 rat samples #309, #310, #311.",20240909,,38,1,FVB,Virus,MG,Unsorted,WT,2month,Yes,PASS,1515
XZ_71045_XZ_71046.FVB_MG2_rep2,8,303/304,304,V3,"This batch has 3 rat samples #309, #310, #311.",20240909,,38,2,FVB,Virus,MG,Unsorted,WT,2month,Yes,PASS,1592
XZ_71045_XZ_71046.FVB_MG3_rep1,8,305/306,305,V3,"This batch has 3 rat samples #309, #310, #311.",20240909,,39,1,FVB,Virus,MG,Unsorted,WT,2month,Yes,PASS,1234
XZ_71045_XZ_71046.FVB_MG3_rep2,8,305/306,306,V3,"This batch has 3 rat samples #309, #310, #311.",20240909,,39,2,FVB,Virus,MG,Unsorted,WT,2month,Yes,PASS,2633
XZ_71045_XZ_71046.FVB_MG4_rep1,8,307/308,307,V3,"This batch has 3 rat samples #309, #310, #311.",20240909,,40,1,FVB,Virus,MG,Unsorted,WT,2month,Yes,PASS,1445
XZ_71045_XZ_71046.FVB_MG4_rep2,8,307/308,308,V3,"This batch has 3 rat samples #309, #310, #311.",20240909,,40,2,FVB,Virus,MG,Unsorted,WT,2month,Yes,PASS,1805
XZ_71296.B6_LN_virus_CD45_neg,9,No CMO,No CMO,V4,,2024.09.27,,41_mix7,,B6,Virus,LN,Negative,WT,1week,Yes,PASS,This is the re-sequencing of batch 6.
XZ_71701.B6_MG_virus_CD45_neg,10,No CMO,No CMO,V4,,2024.10.18,,42_mix4,,B6,Virus,MG,Negative,WT,1week,Yes,PASS,This is the re-sequencing of batch 6.
XZ_71702_XZ_71703.B6_FN_1wk_mouse1_rep1,11,301/302,,V3,,2024.10.18,,43,,B6,Virus,MG,Unsorted,WT,1week,Yes,PASS,
XZ_71702_XZ_71703.B6_FN_1wk_mouse1_rep2,11,301/302,,V3,"This batch has 3 rat samples. (309, 310, 311?)",2024.10.18,,43,,B6,Virus,MG,Unsorted,WT,1week,Yes,PASS,
XZ_71702_XZ_71703.B6_FN_1wk_mouse2_rep1,11,303/304,,V3,,2024.10.18,,44,,B6,Virus,MG,Unsorted,WT,1week,Yes,PASS,
XZ_71702_XZ_71703.B6_FN_1wk_mouse2_rep2,11,303/304,,V3,,2024.10.18,,44,,B6,Virus,MG,Unsorted,WT,1week,Yes,PASS,
XZ_71702_XZ_71703.B6_FN_1wk_mouse3_rep1,11,305/306,,V3,,2024.10.18,,45,,B6,Virus,MG,Unsorted,WT,1week,Yes,PASS,
XZ_71702_XZ_71703.B6_FN_1wk_mouse3_rep2,11,305/306,,V3,,2024.10.18,,45,,B6,Virus,MG,Unsorted,WT,1week,Yes,PASS,
XZ_71702_XZ_71703.B6_FN_1wk_mouse4_rep1,11,307/308,,V3,,2024.10.18,,46,,B6,Virus,MG,Unsorted,WT,1week,Yes,PASS,
XZ_71702_XZ_71703.B6_FN_1wk_mouse4_rep2,11,307/308,,V3,,2024.10.18,,46,,B6,Virus,MG,Unsorted,WT,1week,Yes,PASS,
,,didn't included in manuscript,,,,,,,,,,,,,,,,
